Title,Platform,Release_Date,Metascore,User_Score,Critic_Review_Count,User_Review_Count,Publisher,Genre,Rating,URL
The Ramp,"PC, Nintendo Switch",2021-08-03,82,5.8,8,6,Hyperparadise,Skating,Not Rated,https://www.metacritic.com/game/the-ramp/
The Vale: Shadow of the Crown,"PC, Xbox One, Nintendo Switch, PlayStation 4",2021-08-19,82,7.3,10,14,Falling Squirrel,Action Adventure,Not Rated,https://www.metacritic.com/game/the-vale-shadow-of-the-crown/
Astalon: Tears of the Earth,"Nintendo Switch, PlayStation 4, Xbox One, PC",2021-06-03,82,6.7,10,32,"DANGEN Entertainment, Limited Run Games",Metroidvania,T,https://www.metacritic.com/game/astalon-tears-of-the-earth/
Outer Wilds: Echoes of the Eye,"PC, Nintendo Switch, Xbox One, PlayStation 4",2021-09-28,82,8.9,11,200,Annapurna Interactive,Open-World Action,Not Rated,https://www.metacritic.com/game/outer-wilds-echoes-of-the-eye/
Archvale,"Nintendo Switch, PC, Xbox One",2021-12-02,82,7.4,8,35,Humble Games,Top-Down Shoot-'Em-Up,Not Rated,https://www.metacritic.com/game/archvale/
Animal Crossing: New Horizons - Happy Home Paradise,Nintendo Switch,2021-11-05,82,7.9,21,60,Nintendo,Virtual Life,Not Rated,https://www.metacritic.com/game/animal-crossing-new-horizons-happy-home-paradise/
Little Nightmares II,"Nintendo Switch, PlayStation 4, PC, Xbox One, PlayStation 5, Xbox Series X",2021-02-11,82,8.3,70,1013,Bandai Namco Games,Linear Action Adventure,T,https://www.metacritic.com/game/little-nightmares-ii/
Final Fantasy V Pixel Remaster,"PC, iOS (iPhone/iPad), Nintendo Switch, PlayStation 4, Xbox Series X",2021-11-10,82,7.2,14,55,Square Enix,JRPG,Not Rated,https://www.metacritic.com/game/final-fantasy-v-pixel-remaster/
Tainted Grail: Conquest,"PC, Xbox One, Xbox Series X",2021-05-27,82,7.3,10,38,Awaken Realms,Card Battle,Not Rated,https://www.metacritic.com/game/tainted-grail-conquest/
SOLAS 128,"PC, Nintendo Switch",2021-01-25,82,,9,0,Armor Games,Puzzle,E,https://www.metacritic.com/game/solas-128/
UnMetal,"PC, PlayStation Vita, Nintendo Switch, PlayStation 4, Xbox One",2021-09-28,82,8.3,7,53,"@unepic_fran, Versus Evil",Action Adventure,Not Rated,https://www.metacritic.com/game/unmetal/
