Title,Platform,Release_Date,Metascore,User_Score,Critic_Review_Count,User_Review_Count,Publisher,Genre,Rating,URL
Disgaea 7: Vows of the Virtueless,"PlayStation 5, PlayStation 4, Nintendo Switch, PC",2023-10-03,83,,15,0,"NIS America, Nippon Ichi Software",Turn-Based Tactics,T,https://www.metacritic.com/game/disgaea-7-vows-of-the-virtueless/
DOOMBLADE,PC,2023-05-31,83,7.6,8,13,Iceberg Interactive,Metroidvania,Not Rated,https://www.metacritic.com/game/doomblade/
Killer Frequency,"PC, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One, Nintendo Switch, Meta Quest",2023-06-01,82,7.4,8,54,Team17,First-Person Adventure,Not Rated,https://www.metacritic.com/game/killer-frequency/
The Elder Scrolls Online: Necrom,"PC, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5",2023-06-05,82,7.1,11,33,Bethesda Softworks,MMORPG,M,https://www.metacritic.com/game/the-elder-scrolls-online-necrom/
F-Zero 99,Nintendo Switch,2023-09-14,82,8.1,9,109,Nintendo,Future Racing,E,https://www.metacritic.com/game/f-zero-99/
The Murder of Sonic the Hedgehog,PC,2023-03-31,82,8.5,12,228,Sega,Visual Novel,E,https://www.metacritic.com/game/the-murder-of-sonic-the-hedgehog/
F1 23,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2023-06-16,82,6.2,38,201,Electronic Arts,Auto Racing Sim,E,https://www.metacritic.com/game/f1-23/
Backfirewall_,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2023-01-30,82,8.2,7,6,All in! Games,First-Person Adventure,Not Rated,https://www.metacritic.com/game/backfirewall/
Coral Island,"PC, PlayStation 5, Xbox Series X",2023-11-14,82,6.6,8,69,Humble Games,Virtual Life,Not Rated,https://www.metacritic.com/game/coral-island/
The Last Spell,"Nintendo Switch, PC, PlayStation 5, PlayStation 4",2023-03-09,82,8.1,10,39,The Arcade Crew,Turn-Based Tactics,T,https://www.metacritic.com/game/the-last-spell/
We Were Here Expeditions: The FriendShip,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One",2023-09-14,82,7.8,8,70,Total Mayhem Games,First-Person Adventure,Not Rated,https://www.metacritic.com/game/we-were-here-expeditions-the-friendship/
Ib,"PC, Nintendo Switch, PlayStation 5, PlayStation 4",2023-03-09,82,8.0,11,28,Playism,Adventure,T,https://www.metacritic.com/game/ib/
Remnant II: The Awakened King,"PC, PlayStation 5, Xbox Series X",2023-11-14,82,7.2,10,45,Gearbox Publishing,Third Person Shooter,Not Rated,https://www.metacritic.com/game/remnant-ii-the-awakened-king/
Roots of Pacha,"PC, Xbox One, PlayStation 4, PlayStation 5, Xbox Series X, Nintendo Switch",2023-04-25,82,7.7,7,23,Soda Den,Virtual Life,Not Rated,https://www.metacritic.com/game/roots-of-pacha/
Counter-Strike 2,PC,2023-09-27,82,5.3,16,1109,Valve Software,Tactical FPS,Not Rated,https://www.metacritic.com/game/counter-strike-2/
MLB The Show 23,"PlayStation 5, Xbox Series X, Nintendo Switch, PlayStation 4, Xbox One",2023-03-24,82,6.2,33,72,Sony Interactive Entertainment,Baseball Sim,E,https://www.metacritic.com/game/mlb-the-show-23/
The Sims 4: Growing Together,"PC, PlayStation 4, Xbox One",2023-03-16,82,6.3,9,19,Electronic Arts,Virtual Life,T,https://www.metacritic.com/game/the-sims-4-growing-together/
The Sims 4: Growing Together,"PC, PlayStation 4, Xbox One",2023-03-16,82,6.3,9,19,Electronic Arts,Virtual Life,T,https://www.metacritic.com/game/the-sims-4-growing-together/
My Friendly Neighborhood,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2023-07-18,82,7.6,10,32,DreadXP,Survival,Not Rated,https://www.metacritic.com/game/my-friendly-neighborhood/
30XX,"PC, Nintendo Switch, PlayStation 4, Xbox One",2023-08-09,82,6.4,11,15,Batterystaple Games,2D Platformer,Not Rated,https://www.metacritic.com/game/30xx/
WWE 2K23,"PlayStation 5, Xbox Series X, PlayStation 4, Xbox One, PC",2023-03-14,82,7.0,59,231,"2K Games, Take-Two Interactive",Wrestling,T,https://www.metacritic.com/game/wwe-2k23/
Horizon Forbidden West: Burning Shores,PlayStation 5,2023-04-19,81,4.7,76,2853,Sony Interactive Entertainment,Open-World Action,T,https://www.metacritic.com/game/horizon-forbidden-west-burning-shores/
The Legend of Heroes: Trails to Azure,"PSP, PC, PlayStation 4, Nintendo Switch",2023-03-14,81,7.9,18,56,"NIS America, Falcom, Clouded Leopard Entertainment",JRPG,T,https://www.metacritic.com/game/the-legend-of-heroes-trails-to-azure/
Saltsea Chronicles,"Nintendo Switch, PC, PlayStation 5",2023-10-12,81,7.3,9,12,Die Gute Fabrik,Adventure,Not Rated,https://www.metacritic.com/game/saltsea-chronicles/
Granblue Fantasy Versus: Rising,"PlayStation 5, PC, PlayStation 4",2023-12-14,81,7.2,39,53,Cygames,2D Fighting,T,https://www.metacritic.com/game/granblue-fantasy-versus-rising/
Nocturnal,"PlayStation 5, Xbox Series X, PC, Nintendo Switch",2023-06-07,81,7.3,12,23,Dear Villagers,2D Platformer,Not Rated,https://www.metacritic.com/game/nocturnal/
EVERSPACE 2,"PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X",2023-04-06,81,7.5,41,110,ROCKFISH Games,Space Combat Sim,Not Rated,https://www.metacritic.com/game/everspace-2/
A Highland Song,"Nintendo Switch, PC",2023-12-05,81,6.1,20,8,"inkle, Super Rare Games",Metroidvania,E,https://www.metacritic.com/game/a-highland-song/
Atelier Ryza 3: Alchemist of the End & the Secret Key,"Nintendo Switch, PlayStation 4, PlayStation 5, PC",2023-03-24,81,7.4,23,107,Koei Tecmo Games,JRPG,T,https://www.metacritic.com/game/atelier-ryza-3-alchemist-of-the-end-and-the-secret/
The Legend of Heroes: Trails into Reverie,"PlayStation 4, Nintendo Switch, PC, PlayStation 5",2023-07-07,81,7.6,20,91,"NIS America, Falcom",JRPG,T,https://www.metacritic.com/game/the-legend-of-heroes-trails-into-reverie/
OTXO,"PC, Nintendo Switch, PlayStation 5, PlayStation 4",2023-04-20,81,7.7,11,19,Super Rare Originals,Top-Down Shoot-'Em-Up,Not Rated,https://www.metacritic.com/game/otxo/
Darkest Dungeon II,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox One, Xbox Series X",2023-05-08,81,6.1,59,234,Red Hook Studios,Roguelike,T,https://www.metacritic.com/game/darkest-dungeon-ii/
Fate/Samurai Remnant,"PlayStation 5, PlayStation 4, PC, Nintendo Switch",2023-09-29,81,8.0,29,121,Koei Tecmo Games,Action RPG,T,https://www.metacritic.com/game/fate-samurai-remnant/
Stranded: Alien Dawn,"PC, PlayStation 5, Xbox One, Xbox Series X, PlayStation 4",2023-04-25,81,7.5,12,31,"Frontier Foundry, Frontier Developments",Real-Time Strategy,T,https://www.metacritic.com/game/stranded-alien-dawn/
CONV/RGENCE: A League of Legends Story,"Nintendo Switch, PC, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2023-05-23,81,6.9,23,27,Riot Forge,2D Platformer,T,https://www.metacritic.com/game/conv-rgence-a-league-of-legends-story/
Jagged Alliance 3,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2023-07-14,81,8.0,52,184,THQ Nordic,Turn-Based Tactics,Not Rated,https://www.metacritic.com/game/jagged-alliance-3/
Have a Nice Death,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2023-03-22,81,7.3,27,107,Gearbox Publishing,2D Platformer,Not Rated,https://www.metacritic.com/game/have-a-nice-death/
Goodbye Volcano High,"PlayStation 5, PlayStation 4, PC",2023-08-29,81,5.4,15,74,KO-OP,Adventure,E,https://www.metacritic.com/game/goodbye-volcano-high/
Gunbrella,"Nintendo Switch, PC",2023-09-13,81,7.7,26,33,Devolver Digital,2D Platformer,Not Rated,https://www.metacritic.com/game/gunbrella/
Desktop Dungeons: Rewind,"PC, Xbox One",2023-04-18,81,,9,0,Prismatika,Roguelike,Not Rated,https://www.metacritic.com/game/desktop-dungeons-rewind/
We Love Katamari REROLL+ Royal Reverie,"Nintendo Switch, PlayStation 5, PlayStation 4, PC, Xbox One, Xbox Series X",2023-06-02,81,7.4,18,40,Bandai Namco Games,Action Adventure,E,https://www.metacritic.com/game/we-love-katamari-reroll-plus-royal-reverie/
Kingdom Eighties,"PC, PlayStation 5, Nintendo Switch, Xbox Series X, iOS (iPhone/iPad)",2023-06-26,81,4.1,8,24,Raw Fury,Strategy,Not Rated,https://www.metacritic.com/game/kingdom-eighties/
Company of Heroes 3,"PC, Xbox Series X, PlayStation 5",2023-02-23,81,5.9,70,225,Sega,Real-Time Strategy,M,https://www.metacritic.com/game/company-of-heroes-3/
Like a Dragon: Ishin!,"PlayStation 4, PlayStation 5, PC, Xbox Series X, Xbox One, PlayStation 3",2023-02-21,81,7.4,80,246,Sega,Open-World Action,M,https://www.metacritic.com/game/like-a-dragon-ishin/
Ray'z Arcade Chronology,"Nintendo Switch, PlayStation 4, PC",2023-06-30,81,,8,0,"ININ Games, Taito Corporation, Strictly Limited Games",Compilation,E10+,https://www.metacritic.com/game/rayz-arcade-chronology/
The Expanse: A Telltale Series - Episode 1,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2023-07-27,80,5.9,13,33,Telltale Games,Third-Person Adventure,Not Rated,https://www.metacritic.com/game/the-expanse-a-telltale-series-episode-1/
My Time at Sandrock,"PC, PlayStation 4, Nintendo Switch, Xbox One, Xbox Series X, PlayStation 5",2023-11-02,80,7.7,18,98,Pathea Games,RPG,E10+,https://www.metacritic.com/game/my-time-at-sandrock/
Fire Emblem Engage,Nintendo Switch,2023-01-20,80,7.0,135,1065,Nintendo,Turn-Based Tactics,T,https://www.metacritic.com/game/fire-emblem-engage/
Bayonetta Origins: Cereza and the Lost Demon,Nintendo Switch,2023-03-17,80,8.5,103,194,Nintendo,Linear Action Adventure,T,https://www.metacritic.com/game/bayonetta-origins-cereza-and-the-lost-demon/
Moonstone Island,"PC, Nintendo Switch, iOS (iPhone/iPad)",2023-09-20,80,7.5,13,24,Raw Fury,Trainer RPG,Not Rated,https://www.metacritic.com/game/moonstone-island/
Nuclear Blaze,"PC, Nintendo Switch, Xbox One, PlayStation 4, PlayStation 5",2023-04-28,80,4.8,8,9,"Red Art Games, Rainy Frog",2D Platformer,E10+,https://www.metacritic.com/game/nuclear-blaze/
DREDGE,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4, iOS (iPhone/iPad)",2023-03-30,80,7.9,43,603,Team17,Action Adventure,Not Rated,https://www.metacritic.com/game/dredge/
Demeo,"PC, PlayStation 5, Meta Quest",2023-02-22,80,7.5,14,9,Resolution Games,Turn-Based Tactics,E10+,https://www.metacritic.com/game/demeo/
Fashion Police Squad,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4",2023-02-02,80,6.7,9,18,"No More Robots, Limited Run Games",FPS,T,https://www.metacritic.com/game/fashion-police-squad/
PowerWash Simulator VR,"PC, Meta Quest",2023-11-02,80,6.0,11,9,FuturLab,Virtual Career,Not Rated,https://www.metacritic.com/game/powerwash-simulator-vr/
Stronghold: Definitive Edition,PC,2023-11-07,80,8.1,7,31,FireFly Studios,Real-Time Strategy,Not Rated,https://www.metacritic.com/game/stronghold-definitive-edition/
Wo Long: Fallen Dynasty,"Xbox Series X, PC, Xbox One, PlayStation 5, PlayStation 4",2023-03-03,80,6.7,76,612,"Koei Tecmo Games, Digital Touch",Action RPG,M,https://www.metacritic.com/game/wo-long-fallen-dynasty/
Honkai: Star Rail,"PC, iOS (iPhone/iPad), PlayStation 5",2023-04-26,80,6.6,26,571,"miHoYo, Cognosphere",RPG,T,https://www.metacritic.com/game/honkai-star-rail/
Last Train Home,PC,2023-11-28,80,7.9,29,82,THQ Nordic,Real-Time Strategy,Not Rated,https://www.metacritic.com/game/last-train-home/
Wildfrost,"Nintendo Switch, PC, iOS (iPhone/iPad), Xbox Series X, Xbox One",2023-04-12,80,7.9,18,42,Chucklefish,Card Battle,Not Rated,https://www.metacritic.com/game/wildfrost/
Moving Out 2,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2023-08-15,80,6.7,17,29,"Team17, Fireshine Games, Game Source Entertainment",Virtual Career,E,https://www.metacritic.com/game/moving-out-2/
Remnant II,"PlayStation 5, Xbox Series X, PC",2023-07-25,80,7.1,71,605,"Gearbox Publishing, THQ Nordic",Third Person Shooter,M,https://www.metacritic.com/game/remnant-ii/
Hunt the Night,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One",2023-04-12,80,8.1,16,15,DANGEN Entertainment,Action Adventure,Not Rated,https://www.metacritic.com/game/hunt-the-night/
Bramble: The Mountain King,"PC, PlayStation 5, Xbox Series X, Nintendo Switch, PlayStation 4, Xbox One",2023-04-27,80,7.9,10,228,"Merge Games, H2 Interactive Co., Ltd.",Linear Action Adventure,M,https://www.metacritic.com/game/bramble-the-mountain-king/
Thirsty Suitors,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One",2023-11-02,80,5.5,22,53,Annapurna Interactive,Action Adventure,Not Rated,https://www.metacritic.com/game/thirsty-suitors/
Bramble: The Mountain King,"PC, PlayStation 5, Xbox Series X, Nintendo Switch, PlayStation 4, Xbox One",2023-04-27,80,7.9,10,228,"Merge Games, H2 Interactive Co., Ltd.",Linear Action Adventure,M,https://www.metacritic.com/game/bramble-the-mountain-king/
The Bookwalker: Thief of Tales,"PC, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One",2023-06-22,80,7.3,7,44,tinyBuild,Action Adventure,Not Rated,https://www.metacritic.com/game/the-bookwalker-thief-of-tales/
THE FINALS,"PC, Xbox Series X, PlayStation 5, PlayStation 4",2023-12-07,80,6.8,17,508,Embark Studios,Tactical FPS,Not Rated,https://www.metacritic.com/game/the-finals/
Planet of Lana,"PC, Xbox Series X, Xbox One, Nintendo Switch, PlayStation 5, PlayStation 4",2023-05-23,80,7.8,39,314,Thunderful,Action Adventure,Not Rated,https://www.metacritic.com/game/planet-of-lana/
Blood West,"PC, Xbox Series X, PlayStation 5",2023-12-05,80,7.3,12,52,Hyperstrange,FPS,Not Rated,https://www.metacritic.com/game/blood-west/
Station to Station,PC,2023-10-03,80,7.8,12,12,Prismatika,Tycoon,Not Rated,https://www.metacritic.com/game/station-to-station/
Ghostrunner 2,"Xbox Series X, PlayStation 5, PC",2023-10-26,80,7.5,51,276,"505 Games, Game Source Entertainment",3D Platformer,M,https://www.metacritic.com/game/ghostrunner-2/
Lies of P,"PC, Xbox Series X, PlayStation 5, Xbox One, PlayStation 4",2023-09-19,80,8.3,71,3147,Neowiz,Action RPG,M,https://www.metacritic.com/game/lies-of-p/
EA Sports WRC,"PlayStation 5, Xbox Series X, PC",2023-11-03,80,6.3,22,147,Electronic Arts,Auto Racing Sim,E,https://www.metacritic.com/game/ea-sports-wrc/
Wandering Sword,"PC, Nintendo Switch 2, Nintendo Switch, PlayStation 5",2023-09-14,80,7.4,9,18,Spiral Up Games,RPG,Not Rated,https://www.metacritic.com/game/wandering-sword/
Venba,"PC, Nintendo Switch, Xbox Series X, PlayStation 5, Xbox One",2023-07-31,79,6.4,20,104,Visai Games,Adventure,Not Rated,https://www.metacritic.com/game/venba/
Pikmin 1 + 2,Nintendo Switch,2023-06-21,79,8.2,29,114,Nintendo,Compilation,E10+,https://www.metacritic.com/game/pikmin-1-plus-2/
The Lara Croft Collection,Nintendo Switch,2023-06-29,79,6.0,13,10,"Feral Interactive, Limited Run Games",Compilation,T,https://www.metacritic.com/game/the-lara-croft-collection/
Wartales,"PC, Nintendo Switch, Xbox Series X",2023-04-12,79,7.6,18,123,Shiro Games,Western RPG,Not Rated,https://www.metacritic.com/game/wartales/
Cuisineer,"PC, Nintendo Switch, Xbox Series X, PlayStation 5",2023-11-09,79,7.2,12,9,XSEED Games,Action Adventure,Not Rated,https://www.metacritic.com/game/cuisineer/
Trepang2,"PC, PlayStation 5, Xbox Series X",2023-06-21,79,7.5,32,116,Team17,FPS,Not Rated,https://www.metacritic.com/game/trepang2/
Terra Nil,"PC, iOS (iPhone/iPad), Nintendo Switch",2023-03-28,79,6.7,49,48,Devolver Digital,Real-Time Strategy,Not Rated,https://www.metacritic.com/game/terra-nil/
ASTLIBRA Revision,"PC, Nintendo Switch",2023-11-16,79,7.1,12,20,WhisperGames,Action RPG,M,https://www.metacritic.com/game/astlibra-revision/
Coffee Talk Episode 2: Hibiscus & Butterfly,"PC, Nintendo Switch, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X",2023-04-20,79,7.1,19,54,Toge Productions,Visual Novel,Not Rated,https://www.metacritic.com/game/coffee-talk-episode-2-hibiscus-and-butterfly/
Kirby's Return to Dream Land Deluxe,Nintendo Switch,2023-02-24,79,8.6,113,214,Nintendo,2D Platformer,E10+,https://www.metacritic.com/game/kirbys-return-to-dream-land-deluxe/
Puzzle Bobble Everybubble!,Nintendo Switch,2023-05-23,79,6.9,24,10,"ININ Games, Taito Corporation, Strictly Limited Games",Matching Puzzle,E,https://www.metacritic.com/game/puzzle-bobble-everybubble/
Afterimage,"PC, PlayStation 5, Nintendo Switch, Xbox Series X, PlayStation 4, Xbox One",2023-04-25,79,7.7,13,75,Modus Games,Metroidvania,Not Rated,https://www.metacritic.com/game/afterimage/
House Flipper 2,"PC, PlayStation 5, Xbox Series X, Nintendo Switch",2023-12-14,79,7.3,37,55,"Frozen District, Merge Games",Virtual Career,E,https://www.metacritic.com/game/house-flipper-2/
Meg's Monster,"Nintendo Switch, PC, Xbox One",2023-03-02,79,7.0,8,4,Odencat Inc.,JRPG,T,https://www.metacritic.com/game/megs-monster/
Ragnarock,"PC, PlayStation 5, Meta Quest",2023-02-22,79,5.6,9,9,WanadevStudio,Rhythm,M,https://www.metacritic.com/game/ragnarock/
Super Mega Baseball 4,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2023-06-02,79,7.9,13,23,Electronic Arts,Baseball,E,https://www.metacritic.com/game/super-mega-baseball-4/
Invincible Presents: Atom Eve,PC,2023-11-14,79,5.8,7,52,Skybound Games,Visual Novel,Not Rated,https://www.metacritic.com/game/invincible-presents-atom-eve/
Nova Lands,"PC, Nintendo Switch, Xbox One, PlayStation 4",2023-06-21,79,7.3,7,11,HypeTrain Digital,Sandbox,E,https://www.metacritic.com/game/nova-lands/
Horizon Call of the Mountain,PlayStation 5,2023-02-22,79,7.3,75,221,Sony Interactive Entertainment,Action Adventure,T,https://www.metacritic.com/game/horizon-call-of-the-mountain/
Cookie Cutter,"PC, Xbox Series X, PlayStation 5",2023-12-14,79,7.6,10,38,Rogue Games,Metroidvania,M,https://www.metacritic.com/game/cookie-cutter/
F1 Manager 2023,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2023-07-31,79,6.7,20,58,Frontier Developments,Auto Racing Sim,E,https://www.metacritic.com/game/f1-manager-2023/
Overwatch 2,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox Series X, PlayStation 5",2023-08-10,79,1.9,60,4943,Blizzard Entertainment,Tactical FPS,T,https://www.metacritic.com/game/overwatch-2/
Wild Hearts,"PlayStation 5, PC, Xbox Series X",2023-02-17,79,6.6,58,190,Electronic Arts,Action RPG,T,https://www.metacritic.com/game/wild-hearts/
System Shock,"PC, Xbox One, PlayStation 4, Xbox Series X, PlayStation 5, Nintendo Switch, Nintendo Switch 2",2023-05-30,78,7.6,81,227,"Prime Matter, PLAION",FPS,M,https://www.metacritic.com/game/system-shock/
Assassin's Creed Nexus VR,Meta Quest,2023-11-16,78,7.9,33,59,Ubisoft,Action Adventure,T,https://www.metacritic.com/game/assassins-creed-nexus-vr/
GrimGrimoire OnceMore,"Nintendo Switch, PlayStation 4, PlayStation 5",2023-04-04,78,6.7,13,10,"NIS America, Nippon Ichi Software",Command RTS,T,https://www.metacritic.com/game/grimgrimoire-oncemore/
Bleak Sword DX,"PC, Nintendo Switch",2023-06-08,78,7.6,11,11,Devolver Digital,Action,Not Rated,https://www.metacritic.com/game/bleak-sword-dx/
Like a Dragon Gaiden: The Man Who Erased His Name,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One",2023-11-09,78,8.3,68,331,Sega,Action Adventure,M,https://www.metacritic.com/game/like-a-dragon-gaiden-the-man-who-erased-his-name/
Trine 5: A Clockwork Conspiracy,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2023-08-31,78,7.5,17,52,THQ Nordic,2D Platformer,E10+,https://www.metacritic.com/game/trine-5-a-clockwork-conspiracy/
Creed: Rise to Glory - Championship Edition,PlayStation 5,2023-04-04,78,7.7,7,10,Survios,Combat Sport,T,https://www.metacritic.com/game/creed-rise-to-glory-championship-edition/
The Mageseeker: A League of Legends Story,"PlayStation 5, Xbox Series X, PC, Nintendo Switch, Xbox One, PlayStation 4",2023-04-18,78,6.7,20,60,Riot Forge,Action RPG,T,https://www.metacritic.com/game/the-mageseeker-a-league-of-legends-story/
"El Paso, Elsewhere","PC, Xbox Series X, Xbox One, PlayStation 5",2023-09-26,78,5.3,23,15,Strange Scaffold,Third Person Shooter,Not Rated,https://www.metacritic.com/game/el-paso-elsewhere/
Return to Grace,"PC, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2023-05-30,78,7.1,12,54,Creative Bytes,First-Person Adventure,Not Rated,https://www.metacritic.com/game/return-to-grace/
"Warhammer 40,000: Rogue Trader","PC, PlayStation 5, Xbox Series X, Nintendo Switch 2",2023-12-07,78,7.8,42,259,Owlcat Games,Western RPG,Not Rated,https://www.metacritic.com/game/warhammer-40000-rogue-trader/
The King's Dilemma: Chronicles,PC,2023-01-30,78,,7,0,Big Trouble,RPG,Not Rated,https://www.metacritic.com/game/the-kings-dilemma-chronicles/
Sonic Origins Plus,"PlayStation 5, PlayStation 4, PC, Nintendo Switch, Xbox Series X, Xbox One",2023-06-23,78,7.3,29,112,Sega,Compilation,E,https://www.metacritic.com/game/sonic-origins-plus/
EA SPORTS UFC 5,"PlayStation 5, Xbox Series X",2023-10-27,78,3.6,36,279,Electronic Arts,Combat Sport,M,https://www.metacritic.com/game/ea-sports-ufc-5/
Hot Wheels: Rift Rally,"PlayStation 5, PlayStation 4, iOS (iPhone/iPad)",2023-03-14,78,,7,0,Velan Studios,Auto Racing,E,https://www.metacritic.com/game/hot-wheels-rift-rally/
Hot Wheels: Rift Rally,"PlayStation 5, PlayStation 4, iOS (iPhone/iPad)",2023-03-14,78,,7,0,Velan Studios,Auto Racing,E,https://www.metacritic.com/game/hot-wheels-rift-rally/
Mega Man Battle Network Legacy Collection,"Nintendo Switch, PlayStation 4, PC",2023-04-14,77,8.8,31,82,Capcom,Compilation,E10+,https://www.metacritic.com/game/mega-man-battle-network-legacy-collection/
Nickelodeon All-Star Brawl 2,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2023-11-07,77,6.8,15,40,GameMill Entertainment,2D Fighting,E10+,https://www.metacritic.com/game/nickelodeon-all-star-brawl-2/
Loddlenaut,"PC, Nintendo Switch",2023-11-16,77,8.3,9,12,Secret Mode,Third-Person Adventure,Not Rated,https://www.metacritic.com/game/loddlenaut/
Amnesia: The Bunker,"PlayStation 4, Xbox One, Xbox Series X, PC, Nintendo Switch",2023-06-06,77,7.6,63,239,Frictional Games,Survival,Not Rated,https://www.metacritic.com/game/amnesia-the-bunker/
Vengeful Guardian: Moonrider,"PlayStation 5, PC, Nintendo Switch, PlayStation 4",2023-01-12,77,6.8,23,20,The Arcade Crew,2D Platformer,Not Rated,https://www.metacritic.com/game/vengeful-guardian-moonrider/
Bud Spencer & Terence Hill - Slaps and Beans 2,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch, iOS (iPhone/iPad)",2023-09-22,77,8.4,7,17,ININ Games,2D Beat-'Em-Up,T,https://www.metacritic.com/game/bud-spencer-and-terence-hill-slaps-and-beans-2/
Etrian Odyssey Origins Collection,"Nintendo Switch, PC",2023-06-01,77,8.2,25,13,"Sega, Atlus",Compilation,T,https://www.metacritic.com/game/etrian-odyssey-origins-collection/
The Pale Beyond,"PC, Nintendo Switch",2023-02-24,77,7.0,11,25,Fellow Traveller,Adventure,Not Rated,https://www.metacritic.com/game/the-pale-beyond/
Synapse,PlayStation 5,2023-07-04,77,8.8,37,70,nDreams,Light Gun,T,https://www.metacritic.com/game/synapse/
The Fabulous Fear Machine,PC,2023-10-04,77,7.2,12,5,AMC Games,Strategy,Not Rated,https://www.metacritic.com/game/the-fabulous-fear-machine/
Master Detective Archives: RAIN CODE,Nintendo Switch,2023-06-30,77,7.9,66,156,Spike Chunsoft,Action Adventure,M,https://www.metacritic.com/game/master-detective-archives-rain-code/
Baten Kaitos I & II HD Remaster,"Nintendo Switch, PC",2023-09-14,77,7.6,28,57,Bandai Namco Games,Compilation,T,https://www.metacritic.com/game/baten-kaitos-i-and-ii-hd-remaster/
Lunark,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox Series X",2023-03-30,77,7.1,9,11,"WayForward, Limited Run Games, Oizumi Amuzio",2D Platformer,E10+,https://www.metacritic.com/game/lunark/
Forza Horizon 5: Rally Adventure,"Xbox Series X, PC",2023-03-29,77,6.8,11,58,Xbox Game Studios,Auto Racing Sim,E,https://www.metacritic.com/game/forza-horizon-5-rally-adventure/
SpellForce: Conquest of Eo,"PC, Xbox Series X, PlayStation 5",2023-02-03,77,7.8,16,28,THQ Nordic,Turn-Based Tactics,Not Rated,https://www.metacritic.com/game/spellforce-conquest-of-eo/
Tchia,"PC, PlayStation 5, PlayStation 4, Nintendo Switch, Xbox Series X",2023-03-21,77,6.6,37,165,"Kepler Interactive, Maximum Games",Open-World Action,T,https://www.metacritic.com/game/tchia/
Tails: The Backbone Preludes,PC,2023-02-02,77,5.8,8,9,Raw Fury,Adventure,Not Rated,https://www.metacritic.com/game/tails-the-backbone-preludes/
Might & Magic: Clash of Heroes - Definitive Edition,"PC, PlayStation 4, Nintendo Switch",2023-07-20,77,7.0,9,16,Ubisoft,Turn-Based Tactics,Not Rated,https://www.metacritic.com/game/might-and-magic-clash-of-heroes-definitive-edition/
World of Horror,"PlayStation 4, PC, Nintendo Switch",2023-10-19,77,6.8,23,33,Ysbryd Games,RPG,Not Rated,https://www.metacritic.com/game/world-of-horror/
Palia,"Nintendo Switch, PC, Xbox Series X, PlayStation 5",2023-10-24,77,6.5,7,18,Singularity Six,Virtual Life,Not Rated,https://www.metacritic.com/game/palia/
Hot Wheels Unleashed 2: Turbocharged,"PlayStation 5, Xbox Series X, PC, Nintendo Switch, PlayStation 4, Xbox One",2023-10-19,77,6.7,41,73,Milestone S.r.l,Auto Racing,E,https://www.metacritic.com/game/hot-wheels-unleashed-2-turbocharged/
Contraband Police,"PC, Xbox Series X, PlayStation 5",2023-03-08,77,7.7,10,104,PlayWay,Virtual Career,Not Rated,https://www.metacritic.com/game/contraband-police/
Unplugged: Air Guitar,"PC, PlayStation 5, Meta Quest",2023-02-22,77,,9,0,Vertigo Games,Rhythm,Not Rated,https://www.metacritic.com/game/unplugged-air-guitar/
KarmaZoo,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",2023-11-14,77,6.8,10,6,Devolver Digital,2D Platformer,E,https://www.metacritic.com/game/karmazoo/
VR Skater,"PC, PlayStation 5",2023-08-04,77,7.0,8,10,"Perp Games, Perpetual-Europe",Skating,M,https://www.metacritic.com/game/vr-skater/
